web-scraper-order,web-scraper-start-url,Year,Price From,Price To
"1682517014-205","https://www.carsguide.com.au/porsche/taycan/price","2023","$159,700","$352,600"
"1682517014-206","https://www.carsguide.com.au/porsche/taycan/price","2022","$133,980","$353,650"
"1682517014-207","https://www.carsguide.com.au/porsche/taycan/price","2021","$128,040","$331,210"
"1682517014-208","https://www.carsguide.com.au/porsche/taycan/price","2020","$146,410","$298,760"
"1682517016-209","https://www.carsguide.com.au/porsche/macan/price","2023","$90,100","$138,100"
"1682517016-210","https://www.carsguide.com.au/porsche/macan/price","2022","$83,600","$177,320"
"1682517016-211","https://www.carsguide.com.au/porsche/macan/price","2021","$91,740","$162,360"
"1682517016-212","https://www.carsguide.com.au/porsche/macan/price","2020","$75,790","$150,040"
"1682517016-213","https://www.carsguide.com.au/porsche/macan/price","2019","$67,870","$142,010"
"1682517016-214","https://www.carsguide.com.au/porsche/macan/price","2018","$64,020","$109,670"
"1682517016-215","https://www.carsguide.com.au/porsche/macan/price","2017","$60,500","$107,360"
"1682517016-216","https://www.carsguide.com.au/porsche/macan/price","2016","$59,950","$100,210"
"1682517016-217","https://www.carsguide.com.au/porsche/macan/price","2015","$55,660","$84,260"
"1682517016-218","https://www.carsguide.com.au/porsche/macan/price","2014","$48,950","$76,120"
"1682517018-219","https://www.carsguide.com.au/porsche/panamera/price","2023","$207,800","$435,100"
"1682517018-220","https://www.carsguide.com.au/porsche/panamera/price","2022","$177,210","$436,370"
"1682517018-221","https://www.carsguide.com.au/porsche/panamera/price","2021","$166,210","$408,540"
"1682517018-222","https://www.carsguide.com.au/porsche/panamera/price","2020","$152,900","$416,570"
"1682517018-223","https://www.carsguide.com.au/porsche/panamera/price","2019","$138,820","$377,960"
"1682517018-224","https://www.carsguide.com.au/porsche/panamera/price","2018","$124,960","$340,450"
"1682517018-225","https://www.carsguide.com.au/porsche/panamera/price","2017","$86,790","$314,710"
"1682517018-226","https://www.carsguide.com.au/porsche/panamera/price","2016","$79,860","$216,040"
"1682517018-227","https://www.carsguide.com.au/porsche/panamera/price","2015","$72,270","$200,090"
"1682517018-228","https://www.carsguide.com.au/porsche/panamera/price","2014","$51,150","$179,740"
"1682517018-229","https://www.carsguide.com.au/porsche/panamera/price","2013","$48,180","$168,740"
"1682517018-230","https://www.carsguide.com.au/porsche/panamera/price","2012","$43,780","$115,940"
"1682517018-231","https://www.carsguide.com.au/porsche/panamera/price","2011","$38,940","$104,500"
"1682517018-232","https://www.carsguide.com.au/porsche/panamera/price","2010","$36,630","$84,260"
"1682517018-233","https://www.carsguide.com.au/porsche/panamera/price","2009","$50,600","$78,650"
"1682517021-234","https://www.carsguide.com.au/porsche/boxster/price","2017","$47,960","$114,620"
"1682517021-235","https://www.carsguide.com.au/porsche/boxster/price","2016","$44,110","$107,250"
"1682517021-236","https://www.carsguide.com.au/porsche/boxster/price","2015","$40,260","$98,340"
"1682517021-237","https://www.carsguide.com.au/porsche/boxster/price","2014","$42,900","$74,690"
"1682517021-238","https://www.carsguide.com.au/porsche/boxster/price","2013","$44,770","$67,430"
"1682517021-239","https://www.carsguide.com.au/porsche/boxster/price","2012","$22,770","$65,890"
"1682517021-240","https://www.carsguide.com.au/porsche/boxster/price","2011","$30,030","$51,370"
"1682517021-241","https://www.carsguide.com.au/porsche/boxster/price","2010","$28,490","$49,280"
"1682517021-242","https://www.carsguide.com.au/porsche/boxster/price","2009","$16,940","$35,970"
"1682517021-243","https://www.carsguide.com.au/porsche/boxster/price","2008","$16,280","$33,220"
"1682517021-244","https://www.carsguide.com.au/porsche/boxster/price","2007","$16,280","$25,740"
"1682517021-245","https://www.carsguide.com.au/porsche/boxster/price","2006","$14,520","$25,740"
"1682517021-246","https://www.carsguide.com.au/porsche/boxster/price","2005","$14,520","$30,250"
"1682517021-247","https://www.carsguide.com.au/porsche/boxster/price","2004","$14,520","$30,250"
"1682517021-248","https://www.carsguide.com.au/porsche/boxster/price","2003","$14,520","$27,720"
"1682517021-249","https://www.carsguide.com.au/porsche/boxster/price","2002","$14,520","$27,720"
"1682517021-250","https://www.carsguide.com.au/porsche/boxster/price","2001","$14,300","$24,750"
"1682517021-251","https://www.carsguide.com.au/porsche/boxster/price","2000","$14,300","$23,870"
"1682517021-252","https://www.carsguide.com.au/porsche/boxster/price","1999","$12,760","$23,870"
"1682517021-253","https://www.carsguide.com.au/porsche/boxster/price","1998","$12,760","$20,570"
"1682517021-254","https://www.carsguide.com.au/porsche/boxster/price","1997","$12,760","$20,570"
"1682517023-255","https://www.carsguide.com.au/porsche/cayenne/price","2023","$135,100","$352,700"
"1682517023-256","https://www.carsguide.com.au/porsche/cayenne/price","2022","$110,770","$378,620"
"1682517023-257","https://www.carsguide.com.au/porsche/cayenne/price","2021","$112,200","$333,080"
"1682517023-258","https://www.carsguide.com.au/porsche/cayenne/price","2020","$109,010","$270,930"
"1682517023-259","https://www.carsguide.com.au/porsche/cayenne/price","2019","$98,670","$244,640"
"1682517023-260","https://www.carsguide.com.au/porsche/cayenne/price","2018","$66,990","$214,170"
"1682517023-261","https://www.carsguide.com.au/porsche/cayenne/price","2017","$59,290","$190,520"
"1682517023-262","https://www.carsguide.com.au/porsche/cayenne/price","2016","$54,120","$165,880"
"1682517023-263","https://www.carsguide.com.au/porsche/cayenne/price","2015","$48,950","$148,280"
"1682517023-264","https://www.carsguide.com.au/porsche/cayenne/price","2014","$41,470","$124,960"
"1682517023-265","https://www.carsguide.com.au/porsche/cayenne/price","2013","$37,730","$116,380"
"1682517023-266","https://www.carsguide.com.au/porsche/cayenne/price","2012","$33,990","$93,280"
"1682517023-267","https://www.carsguide.com.au/porsche/cayenne/price","2011","$28,710","$66,110"
"1682517023-268","https://www.carsguide.com.au/porsche/cayenne/price","2010","$19,690","$59,730"
"1682517023-269","https://www.carsguide.com.au/porsche/cayenne/price","2009","$17,600","$44,330"
"1682517023-270","https://www.carsguide.com.au/porsche/cayenne/price","2008","$16,610","$29,810"
"1682517023-271","https://www.carsguide.com.au/porsche/cayenne/price","2007","$12,650","$31,790"
"1682517023-272","https://www.carsguide.com.au/porsche/cayenne/price","2006","$12,870","$31,790"
"1682517023-273","https://www.carsguide.com.au/porsche/cayenne/price","2005","$12,870","$25,080"
"1682517023-274","https://www.carsguide.com.au/porsche/cayenne/price","2004","$12,870","$25,080"
"1682517023-275","https://www.carsguide.com.au/porsche/cayenne/price","2003","$12,870","$25,080"
"1682517026-276","https://www.carsguide.com.au/porsche/911/price","2023","$259,100","$598,300"
"1682517026-277","https://www.carsguide.com.au/porsche/911/price","2022","$224,400","$640,310"
"1682517026-278","https://www.carsguide.com.au/porsche/911/price","2021","$196,900","$526,130"
"1682517026-279","https://www.carsguide.com.au/porsche/911/price","2020","$181,060","$497,750"
"1682517026-280","https://www.carsguide.com.au/porsche/911/price","2019","$142,780","$652,740"
"1682517026-281","https://www.carsguide.com.au/porsche/911/price","2018","$117,700","$666,930"
"1682517026-282","https://www.carsguide.com.au/porsche/911/price","2017","$94,930","$569,690"
"1682517026-283","https://www.carsguide.com.au/porsche/911/price","2016","$88,550","$264,880"
"1682517026-284","https://www.carsguide.com.au/porsche/911/price","2015","$82,060","$219,780"
"1682517026-285","https://www.carsguide.com.au/porsche/911/price","2014","$63,140","$217,250"
"1682517026-286","https://www.carsguide.com.au/porsche/911/price","2013","$59,510","$206,690"
"1682517026-287","https://www.carsguide.com.au/porsche/911/price","2012","$50,600","$140,030"
"1682517026-288","https://www.carsguide.com.au/porsche/911/price","2011","$52,140","$131,560"
"1682517026-289","https://www.carsguide.com.au/porsche/911/price","2010","$54,450","$125,400"
"1682517026-290","https://www.carsguide.com.au/porsche/911/price","2009","$50,380","$118,140"
"1682517026-291","https://www.carsguide.com.au/porsche/911/price","2008","$37,620","$116,600"
"1682517026-292","https://www.carsguide.com.au/porsche/911/price","2007","$36,080","$114,400"
"1682517026-293","https://www.carsguide.com.au/porsche/911/price","2006","$36,080","$114,400"
"1682517026-294","https://www.carsguide.com.au/porsche/911/price","2005","$37,620","$100,210"
"1682517026-295","https://www.carsguide.com.au/porsche/911/price","2004","$30,910","$100,210"
"1682517026-296","https://www.carsguide.com.au/porsche/911/price","2003","$30,910","$100,210"
"1682517026-297","https://www.carsguide.com.au/porsche/911/price","2002","$30,580","$87,780"
"1682517026-298","https://www.carsguide.com.au/porsche/911/price","2001","$29,810","$87,780"
"1682517026-299","https://www.carsguide.com.au/porsche/911/price","2000","$29,810","$91,080"
"1682517026-300","https://www.carsguide.com.au/porsche/911/price","1999","$29,810","$88,000"
"1682517026-301","https://www.carsguide.com.au/porsche/911/price","1998","$29,810","$59,400"
"1682517026-302","https://www.carsguide.com.au/porsche/911/price","1997","$29,810","$59,400"
"1682517026-303","https://www.carsguide.com.au/porsche/911/price","1996","$29,810","$137,500"
"1682517026-304","https://www.carsguide.com.au/porsche/911/price","1995","$29,810","$132,000"
"1682517026-305","https://www.carsguide.com.au/porsche/911/price","1994","$29,590","$136,950"
"1682517026-306","https://www.carsguide.com.au/porsche/911/price","1993","$29,590","$132,000"
"1682517026-307","https://www.carsguide.com.au/porsche/911/price","1992","$29,590","$124,850"
"1682517026-308","https://www.carsguide.com.au/porsche/911/price","1991","$29,590","$58,410"
"1682517026-309","https://www.carsguide.com.au/porsche/911/price","1990","$29,590","$48,840"
"1682517026-310","https://www.carsguide.com.au/porsche/911/price","1989","$27,830","$70,400"
"1682517026-311","https://www.carsguide.com.au/porsche/911/price","1988","$27,830","$66,000"
"1682517026-312","https://www.carsguide.com.au/porsche/911/price","1987","$27,830","$61,600"
"1682517026-313","https://www.carsguide.com.au/porsche/911/price","1986","$27,830","$58,300"
"1682517026-314","https://www.carsguide.com.au/porsche/911/price","1985","$27,830","$84,150"
"1682517026-315","https://www.carsguide.com.au/porsche/911/price","1984","$27,830","$82,500"
"1682517026-316","https://www.carsguide.com.au/porsche/911/price","1983","$37,620","$80,300"
"1682517026-317","https://www.carsguide.com.au/porsche/911/price","1982","$37,620","$77,000"
"1682517026-318","https://www.carsguide.com.au/porsche/911/price","1981","$37,620","$71,500"
"1682517026-319","https://www.carsguide.com.au/porsche/911/price","1980","$35,420","$71,500"
"1682517026-320","https://www.carsguide.com.au/porsche/911/price","1979","$30,360","$66,000"
"1682517026-321","https://www.carsguide.com.au/porsche/911/price","1978","$28,270","$64,900"
"1682517026-322","https://www.carsguide.com.au/porsche/911/price","1977","$23,540","$63,800"
"1682517026-323","https://www.carsguide.com.au/porsche/911/price","1976","$23,540","$51,040"
"1682517026-324","https://www.carsguide.com.au/porsche/911/price","1975","$23,540","$51,040"
"1682517026-325","https://www.carsguide.com.au/porsche/911/price","1974","$23,540","$38,170"
"1682517026-326","https://www.carsguide.com.au/porsche/911/price","1973","$23,540","$38,170"
"1682517026-327","https://www.carsguide.com.au/porsche/911/price","1972","$21,010","$30,580"
"1682517026-328","https://www.carsguide.com.au/porsche/911/price","1971","$15,730","$34,760"
"1682517026-329","https://www.carsguide.com.au/porsche/911/price","1970","$15,730","$34,760"
"1682517026-330","https://www.carsguide.com.au/porsche/911/price","1969","$15,730","$26,400"
"1682517026-331","https://www.carsguide.com.au/porsche/911/price","1968","$17,820","$26,400"
"1682517026-332","https://www.carsguide.com.au/porsche/911/price","1967","$15,730","$20,900"
"1682517026-333","https://www.carsguide.com.au/porsche/911/price","1966","$15,730","$20,900"
"1682517026-334","https://www.carsguide.com.au/porsche/911/price","1965","N/A","N/A"
"1682517026-335","https://www.carsguide.com.au/porsche/911/price","1964","N/A","N/A"
