web-scraper-order,web-scraper-start-url,2017 Porsche Boxster,Price
"1683537037-1","https://www.carsguide.com.au/porsche/boxster/price/1997","null","Price: $16,060 - $20,570"
"1683537037-2","https://www.carsguide.com.au/porsche/boxster/price/1997","null","Price: $12,760 - $16,940"
"1683537040-3","https://www.carsguide.com.au/porsche/boxster/price/1998","null","Price: $16,060 - $20,570"
"1683537040-4","https://www.carsguide.com.au/porsche/boxster/price/1998","null","Price: $12,760 - $16,940"
"1683537042-5","https://www.carsguide.com.au/porsche/boxster/price/1999","null","Price: $12,760 - $16,940"
"1683537042-6","https://www.carsguide.com.au/porsche/boxster/price/1999","null","Price: $15,620 - $20,020"
"1683537042-7","https://www.carsguide.com.au/porsche/boxster/price/1999","null","Price: $18,810 - $23,870"
"1683537042-8","https://www.carsguide.com.au/porsche/boxster/price/1999","null","Price: $17,930 - $22,660"
"1683537046-9","https://www.carsguide.com.au/porsche/boxster/price/2000","null","Price: $15,620 - $20,020"
"1683537046-10","https://www.carsguide.com.au/porsche/boxster/price/2000","null","Price: $14,300 - $18,810"
"1683537046-11","https://www.carsguide.com.au/porsche/boxster/price/2000","null","Price: $18,810 - $23,870"
"1683537046-12","https://www.carsguide.com.au/porsche/boxster/price/2000","null","Price: $17,930 - $22,660"
"1683537049-13","https://www.carsguide.com.au/porsche/boxster/price/2001","null","Price: $15,620 - $20,020"
"1683537049-14","https://www.carsguide.com.au/porsche/boxster/price/2001","null","Price: $14,300 - $18,810"
"1683537049-15","https://www.carsguide.com.au/porsche/boxster/price/2001","null","Price: $18,810 - $23,870"
"1683537049-16","https://www.carsguide.com.au/porsche/boxster/price/2001","null","Price: $17,930 - $22,660"
"1683537052-17","https://www.carsguide.com.au/porsche/boxster/price/2002","null","Price: $15,840 - $20,350"
"1683537052-18","https://www.carsguide.com.au/porsche/boxster/price/2002","null","Price: $14,520 - $19,140"
"1683537052-19","https://www.carsguide.com.au/porsche/boxster/price/2002","null","Price: $19,580 - $24,750"
"1683537052-20","https://www.carsguide.com.au/porsche/boxster/price/2002","null","Price: $18,590 - $23,540"
"1683537055-21","https://www.carsguide.com.au/porsche/boxster/price/2003","null","Price: $15,840 - $20,350"
"1683537055-22","https://www.carsguide.com.au/porsche/boxster/price/2003","null","Price: $14,520 - $19,140"
"1683537055-23","https://www.carsguide.com.au/porsche/boxster/price/2003","null","Price: $22,440 - $27,720"
"1683537055-24","https://www.carsguide.com.au/porsche/boxster/price/2003","null","Price: $20,900 - $26,400"
"1683537058-25","https://www.carsguide.com.au/porsche/boxster/price/2004","null","Price: $15,840 - $20,350"
"1683537058-26","https://www.carsguide.com.au/porsche/boxster/price/2004","null","Price: $14,520 - $19,140"
"1683537058-27","https://www.carsguide.com.au/porsche/boxster/price/2004","null","Price: $22,440 - $27,720"
"1683537058-28","https://www.carsguide.com.au/porsche/boxster/price/2004","null","Price: $24,530 - $30,250"
"1683537058-29","https://www.carsguide.com.au/porsche/boxster/price/2004","null","Price: $20,900 - $26,400"
"1683537058-30","https://www.carsguide.com.au/porsche/boxster/price/2004","null","Price: $23,540 - $29,040"
"1683537061-31","https://www.carsguide.com.au/porsche/boxster/price/2005","null","Price: $15,510 - $19,910"
"1683537061-32","https://www.carsguide.com.au/porsche/boxster/price/2005","null","Price: $14,520 - $19,140"
"1683537061-33","https://www.carsguide.com.au/porsche/boxster/price/2005","null","Price: $22,440 - $27,720"
"1683537061-34","https://www.carsguide.com.au/porsche/boxster/price/2005","null","Price: $24,530 - $30,250"
"1683537061-35","https://www.carsguide.com.au/porsche/boxster/price/2005","null","Price: $20,900 - $26,400"
"1683537061-36","https://www.carsguide.com.au/porsche/boxster/price/2005","null","Price: $23,540 - $29,040"
"1683537063-37","https://www.carsguide.com.au/porsche/boxster/price/2006","null","Price: $15,510 - $19,910"
"1683537063-38","https://www.carsguide.com.au/porsche/boxster/price/2006","null","Price: $14,520 - $19,140"
"1683537063-39","https://www.carsguide.com.au/porsche/boxster/price/2006","null","Price: $19,360 - $24,530"
"1683537063-40","https://www.carsguide.com.au/porsche/boxster/price/2006","null","Price: $18,700 - $23,650"
"1683537067-41","https://www.carsguide.com.au/porsche/boxster/price/2007","null","Price: $20,350 - $25,740"
"1683537067-42","https://www.carsguide.com.au/porsche/boxster/price/2007","null","Price: $16,280 - $20,900"
"1683537067-43","https://www.carsguide.com.au/porsche/boxster/price/2007","null","Price: $20,020 - $25,410"
"1683537067-44","https://www.carsguide.com.au/porsche/boxster/price/2007","null","Price: $19,470 - $24,640"
"1683537071-45","https://www.carsguide.com.au/porsche/boxster/price/2008","null","Price: $20,900 - $26,510"
"1683537071-46","https://www.carsguide.com.au/porsche/boxster/price/2008","null","Price: $20,020 - $25,410"
"1683537071-47","https://www.carsguide.com.au/porsche/boxster/price/2008","null","Price: $27,610 - $33,220"
"1683537071-48","https://www.carsguide.com.au/porsche/boxster/price/2008","null","Price: $20,020 - $25,410"
"1683537071-49","https://www.carsguide.com.au/porsche/boxster/price/2008","null","Price: $26,070 - $32,230"
"1683537071-50","https://www.carsguide.com.au/porsche/boxster/price/2008","null","Price: $19,470 - $24,640"
"1683537074-51","https://www.carsguide.com.au/porsche/boxster/price/2009","null","Price: $22,550 - $27,830"
"1683537074-52","https://www.carsguide.com.au/porsche/boxster/price/2009","null","Price: $16,940 - $21,670"
"1683537074-53","https://www.carsguide.com.au/porsche/boxster/price/2009","null","Price: $29,040 - $34,980"
"1683537074-54","https://www.carsguide.com.au/porsche/boxster/price/2009","null","Price: $20,790 - $26,290"
"1683537074-55","https://www.carsguide.com.au/porsche/boxster/price/2009","null","Price: $28,160 - $33,990"
"1683537074-56","https://www.carsguide.com.au/porsche/boxster/price/2009","null","Price: $20,130 - $25,520"
"1683537081-57","https://www.carsguide.com.au/porsche/boxster/price/2010","null","Price: $28,820 - $34,760"
"1683537081-58","https://www.carsguide.com.au/porsche/boxster/price/2010","null","Price: $30,250 - $36,410"
"1683537081-59","https://www.carsguide.com.au/porsche/boxster/price/2010","null","Price: $31,130 - $37,510"
"1683537081-60","https://www.carsguide.com.au/porsche/boxster/price/2010","null","Price: $40,370 - $47,520"
"1683537081-61","https://www.carsguide.com.au/porsche/boxster/price/2010","null","Price: $32,780 - $39,050"
"1683537081-62","https://www.carsguide.com.au/porsche/boxster/price/2010","null","Price: $41,910 - $49,280"
"1683537083-63","https://www.carsguide.com.au/porsche/boxster/price/2011","null","Price: $30,030 - $36,190"
"1683537083-64","https://www.carsguide.com.au/porsche/boxster/price/2011","null","Price: $31,460 - $37,950"
"1683537083-65","https://www.carsguide.com.au/porsche/boxster/price/2011","null","Price: $33,000 - $39,270"
"1683537083-66","https://www.carsguide.com.au/porsche/boxster/price/2011","null","Price: $38,280 - $45,100"
"1683537083-67","https://www.carsguide.com.au/porsche/boxster/price/2011","null","Price: $42,570 - $49,500"
"1683537083-68","https://www.carsguide.com.au/porsche/boxster/price/2011","null","Price: $34,320 - $40,920"
"1683537083-69","https://www.carsguide.com.au/porsche/boxster/price/2011","null","Price: $39,930 - $46,970"
"1683537083-70","https://www.carsguide.com.au/porsche/boxster/price/2011","null","Price: $44,220 - $51,370"
"1683537086-71","https://www.carsguide.com.au/porsche/boxster/price/2012","null","Price: $31,680 - $38,170"
"1683537086-72","https://www.carsguide.com.au/porsche/boxster/price/2012","null","Price: $33,770 - $40,150"
"1683537086-73","https://www.carsguide.com.au/porsche/boxster/price/2012","null","Price: $35,200 - $41,910"
"1683537086-74","https://www.carsguide.com.au/porsche/boxster/price/2012","null","Price: $40,590 - $47,740"
"1683537086-75","https://www.carsguide.com.au/porsche/boxster/price/2012","null","Price: $38,940 - $45,870"
"1683537086-76","https://www.carsguide.com.au/porsche/boxster/price/2012","null","Price: $36,630 - $43,560"
"1683537086-77","https://www.carsguide.com.au/porsche/boxster/price/2012","null","Price: $42,680 - $49,610"
"1683537086-78","https://www.carsguide.com.au/porsche/boxster/price/2012","null","Price: $40,480 - $47,630"
"1683537088-79","https://www.carsguide.com.au/porsche/boxster/price/2013","null","Price: $44,770 - $52,030"
"1683537088-80","https://www.carsguide.com.au/porsche/boxster/price/2013","null","Price: $46,970 - $54,560"
"1683537088-81","https://www.carsguide.com.au/porsche/boxster/price/2013","null","Price: $51,590 - $59,290"
"1683537088-82","https://www.carsguide.com.au/porsche/boxster/price/2013","null","Price: $58,630 - $67,430"
"1683537091-83","https://www.carsguide.com.au/porsche/boxster/price/2014","null","Price: $46,860 - $54,450"
"1683537091-84","https://www.carsguide.com.au/porsche/boxster/price/2014","null","Price: $49,720 - $57,090"
"1683537091-85","https://www.carsguide.com.au/porsche/boxster/price/2014","null","Price: $51,150 - $58,850"
"1683537091-86","https://www.carsguide.com.au/porsche/boxster/price/2014","null","Price: $54,120 - $62,260"
"1683537091-87","https://www.carsguide.com.au/porsche/boxster/price/2014","null","Price: $65,010 - $74,690"
"1683537091-88","https://www.carsguide.com.au/porsche/boxster/price/2014","null","Price: $61,380 - $70,510"
"1683537093-89","https://www.carsguide.com.au/porsche/boxster/price/2015","null","Price: $52,030 - $59,840"
"1683537093-90","https://www.carsguide.com.au/porsche/boxster/price/2015","null","Price: $42,900 - $49,830"
"1683537093-91","https://www.carsguide.com.au/porsche/boxster/price/2015","null","Price: $54,560 - $62,700"
"1683537093-92","https://www.carsguide.com.au/porsche/boxster/price/2015","null","Price: $44,880 - $52,250"
"1683537093-93","https://www.carsguide.com.au/porsche/boxster/price/2015","null","Price: $56,980 - $65,450"
"1683537093-94","https://www.carsguide.com.au/porsche/boxster/price/2015","null","Price: $50,380 - $57,970"
"1683537093-95","https://www.carsguide.com.au/porsche/boxster/price/2015","null","Price: $71,060 - $81,730"
"1683537093-96","https://www.carsguide.com.au/porsche/boxster/price/2015","null","Price: $62,700 - $72,050"
"1683537093-97","https://www.carsguide.com.au/porsche/boxster/price/2015","null","Price: $85,580 - $98,340"
"1683537096-98","https://www.carsguide.com.au/porsche/boxster/price/2016","null","Price: $43,890 - $51,040"
"1683537096-99","https://www.carsguide.com.au/porsche/boxster/price/2016","null","Price: $46,310 - $53,790"
"1683537096-100","https://www.carsguide.com.au/porsche/boxster/price/2016","null","Price: $45,980 - $53,460"
"1683537096-101","https://www.carsguide.com.au/porsche/boxster/price/2016","null","Price: $49,060 - $56,430"
"1683537096-102","https://www.carsguide.com.au/porsche/boxster/price/2016","null","Price: $62,810 - $72,160"
"1683537096-103","https://www.carsguide.com.au/porsche/boxster/price/2016","null","Price: $55,550 - $63,910"
"1683537096-104","https://www.carsguide.com.au/porsche/boxster/price/2016","null","Price: $65,450 - $75,240"
"1683537096-105","https://www.carsguide.com.au/porsche/boxster/price/2016","null","Price: $57,750 - $66,330"
"1683537096-106","https://www.carsguide.com.au/porsche/boxster/price/2016","null","Price: $92,730 - $106,590"
"1683537098-107","https://www.carsguide.com.au/porsche/boxster/price/2017","(base)","Price: $46,970 - $54,670"
"1683537098-108","https://www.carsguide.com.au/porsche/boxster/price/2017","Black Edition","Price: $50,160 - $57,640"
"1683537098-109","https://www.carsguide.com.au/porsche/boxster/price/2017","(base)","Price: $49,830 - $57,310"
"1683537098-110","https://www.carsguide.com.au/porsche/boxster/price/2017","Black Edition","Price: $52,580 - $60,500"
"1683537098-111","https://www.carsguide.com.au/porsche/boxster/price/2017","GTS","Price: $67,320 - $77,330"
"1683537098-112","https://www.carsguide.com.au/porsche/boxster/price/2017","S","Price: $59,510 - $68,420"
"1683537098-113","https://www.carsguide.com.au/porsche/boxster/price/2017","GTS","Price: $70,180 - $80,630"
"1683537098-114","https://www.carsguide.com.au/porsche/boxster/price/2017","S","Price: $61,820 - $71,060"
"1683537098-115","https://www.carsguide.com.au/porsche/boxster/price/2017","Spyder","Price: $99,220 - $114,070"
