web-scraper-order,web-scraper-start-url,2023 Porsche Cayenne,Price
"1683537416-116","https://www.carsguide.com.au/porsche/cayenne/price/2003","null","Price: $12,870 - $17,160"
"1683537416-117","https://www.carsguide.com.au/porsche/cayenne/price/2003","null","Price: $19,800 - $25,080"
"1683537419-118","https://www.carsguide.com.au/porsche/cayenne/price/2004","null","Price: $12,870 - $17,160"
"1683537419-119","https://www.carsguide.com.au/porsche/cayenne/price/2004","null","Price: $14,080 - $18,590"
"1683537419-120","https://www.carsguide.com.au/porsche/cayenne/price/2004","null","Price: $19,800 - $25,080"
"1683537422-121","https://www.carsguide.com.au/porsche/cayenne/price/2005","null","Price: $12,870 - $17,160"
"1683537422-122","https://www.carsguide.com.au/porsche/cayenne/price/2005","null","Price: $14,080 - $18,590"
"1683537422-123","https://www.carsguide.com.au/porsche/cayenne/price/2005","null","Price: $19,800 - $25,080"
"1683537425-124","https://www.carsguide.com.au/porsche/cayenne/price/2006","null","Price: $12,870 - $17,160"
"1683537425-125","https://www.carsguide.com.au/porsche/cayenne/price/2006","null","Price: $14,080 - $18,590"
"1683537425-126","https://www.carsguide.com.au/porsche/cayenne/price/2006","null","Price: $19,800 - $25,080"
"1683537425-127","https://www.carsguide.com.au/porsche/cayenne/price/2006","null","Price: $25,740 - $31,790"
"1683537427-128","https://www.carsguide.com.au/porsche/cayenne/price/2007","null","Price: $15,620 - $20,020"
"1683537427-129","https://www.carsguide.com.au/porsche/cayenne/price/2007","null","Price: $12,650 - $16,830"
"1683537427-130","https://www.carsguide.com.au/porsche/cayenne/price/2007","null","Price: $12,870 - $17,160"
"1683537427-131","https://www.carsguide.com.au/porsche/cayenne/price/2007","null","Price: $14,740 - $19,360"
"1683537427-132","https://www.carsguide.com.au/porsche/cayenne/price/2007","null","Price: $19,800 - $25,080"
"1683537427-133","https://www.carsguide.com.au/porsche/cayenne/price/2007","null","Price: $25,740 - $31,790"
"1683537430-134","https://www.carsguide.com.au/porsche/cayenne/price/2008","null","Price: $17,380 - $22,000"
"1683537430-135","https://www.carsguide.com.au/porsche/cayenne/price/2008","null","Price: $16,610 - $21,230"
"1683537430-136","https://www.carsguide.com.au/porsche/cayenne/price/2008","null","Price: $21,230 - $26,840"
"1683537430-137","https://www.carsguide.com.au/porsche/cayenne/price/2008","null","Price: $24,200 - $29,810"
"1683537433-138","https://www.carsguide.com.au/porsche/cayenne/price/2009","null","Price: $23,760 - $29,370"
"1683537433-139","https://www.carsguide.com.au/porsche/cayenne/price/2009","null","Price: $19,030 - $24,090"
"1683537433-140","https://www.carsguide.com.au/porsche/cayenne/price/2009","null","Price: $18,810 - $23,870"
"1683537433-141","https://www.carsguide.com.au/porsche/cayenne/price/2009","null","Price: $37,730 - $44,330"
"1683537433-142","https://www.carsguide.com.au/porsche/cayenne/price/2009","null","Price: $24,200 - $29,810"
"1683537433-143","https://www.carsguide.com.au/porsche/cayenne/price/2009","null","Price: $27,830 - $33,550"
"1683537433-144","https://www.carsguide.com.au/porsche/cayenne/price/2009","null","Price: $36,850 - $43,890"
"1683537435-145","https://www.carsguide.com.au/porsche/cayenne/price/2010","null","Price: $26,070 - $32,120"
"1683537435-146","https://www.carsguide.com.au/porsche/cayenne/price/2010","null","Price: $33,220 - $39,490"
"1683537435-147","https://www.carsguide.com.au/porsche/cayenne/price/2010","null","Price: $28,160 - $33,880"
"1683537435-148","https://www.carsguide.com.au/porsche/cayenne/price/2010","null","Price: $19,690 - $24,970"
"1683537435-149","https://www.carsguide.com.au/porsche/cayenne/price/2010","null","Price: $33,660 - $40,040"
"1683537435-150","https://www.carsguide.com.au/porsche/cayenne/price/2010","null","Price: $41,470 - $48,730"
"1683537435-151","https://www.carsguide.com.au/porsche/cayenne/price/2010","null","Price: $29,810 - $35,860"
"1683537435-152","https://www.carsguide.com.au/porsche/cayenne/price/2010","null","Price: $35,420 - $42,130"
"1683537435-153","https://www.carsguide.com.au/porsche/cayenne/price/2010","null","Price: $43,010 - $50,050"
"1683537442-154","https://www.carsguide.com.au/porsche/cayenne/price/2011","null","Price: $35,090 - $41,800"
"1683537442-155","https://www.carsguide.com.au/porsche/cayenne/price/2011","null","Price: $31,020 - $37,400"
"1683537442-156","https://www.carsguide.com.au/porsche/cayenne/price/2011","null","Price: $28,710 - $34,540"
"1683537442-157","https://www.carsguide.com.au/porsche/cayenne/price/2011","null","Price: $37,730 - $44,440"
"1683537442-158","https://www.carsguide.com.au/porsche/cayenne/price/2011","null","Price: $56,650 - $65,120"
"1683537444-159","https://www.carsguide.com.au/porsche/cayenne/price/2012","null","Price: $37,620 - $44,220"
"1683537444-160","https://www.carsguide.com.au/porsche/cayenne/price/2012","null","Price: $41,030 - $48,290"
"1683537444-161","https://www.carsguide.com.au/porsche/cayenne/price/2012","null","Price: $33,990 - $40,480"
"1683537444-162","https://www.carsguide.com.au/porsche/cayenne/price/2012","null","Price: $57,200 - $65,780"
"1683537444-163","https://www.carsguide.com.au/porsche/cayenne/price/2012","null","Price: $39,930 - $46,970"
"1683537444-164","https://www.carsguide.com.au/porsche/cayenne/price/2012","null","Price: $81,180 - $93,280"
"1683537447-165","https://www.carsguide.com.au/porsche/cayenne/price/2013","null","Price: $40,920 - $48,180"
"1683537447-166","https://www.carsguide.com.au/porsche/cayenne/price/2013","null","Price: $45,210 - $52,580"
"1683537447-167","https://www.carsguide.com.au/porsche/cayenne/price/2013","null","Price: $37,730 - $44,440"
"1683537447-168","https://www.carsguide.com.au/porsche/cayenne/price/2013","null","Price: $46,310 - $53,790"
"1683537447-169","https://www.carsguide.com.au/porsche/cayenne/price/2013","null","Price: $62,370 - $71,720"
"1683537447-170","https://www.carsguide.com.au/porsche/cayenne/price/2013","null","Price: $45,100 - $52,470"
"1683537447-171","https://www.carsguide.com.au/porsche/cayenne/price/2013","null","Price: $86,570 - $99,550"
"1683537447-172","https://www.carsguide.com.au/porsche/cayenne/price/2013","null","Price: $101,200 - $116,380"
"1683537450-173","https://www.carsguide.com.au/porsche/cayenne/price/2014","null","Price: $45,320 - $52,690"
"1683537450-174","https://www.carsguide.com.au/porsche/cayenne/price/2014","null","Price: $49,500 - $56,870"
"1683537450-175","https://www.carsguide.com.au/porsche/cayenne/price/2014","null","Price: $58,300 - $66,990"
"1683537450-176","https://www.carsguide.com.au/porsche/cayenne/price/2014","null","Price: $54,340 - $62,480"
"1683537450-177","https://www.carsguide.com.au/porsche/cayenne/price/2014","null","Price: $41,470 - $48,840"
"1683537450-178","https://www.carsguide.com.au/porsche/cayenne/price/2014","null","Price: $48,400 - $55,660"
"1683537450-179","https://www.carsguide.com.au/porsche/cayenne/price/2014","null","Price: $52,140 - $59,950"
"1683537450-180","https://www.carsguide.com.au/porsche/cayenne/price/2014","null","Price: $68,090 - $78,320"
"1683537450-181","https://www.carsguide.com.au/porsche/cayenne/price/2014","null","Price: $54,120 - $62,260"
"1683537450-182","https://www.carsguide.com.au/porsche/cayenne/price/2014","null","Price: $93,060 - $106,920"
"1683537450-183","https://www.carsguide.com.au/porsche/cayenne/price/2014","null","Price: $95,260 - $109,450"
"1683537453-184","https://www.carsguide.com.au/porsche/cayenne/price/2015","null","Price: $60,500 - $69,520"
"1683537453-185","https://www.carsguide.com.au/porsche/cayenne/price/2015","null","Price: $63,030 - $72,490"
"1683537453-186","https://www.carsguide.com.au/porsche/cayenne/price/2015","null","Price: $48,950 - $56,210"
"1683537453-187","https://www.carsguide.com.au/porsche/cayenne/price/2015","null","Price: $76,010 - $87,340"
"1683537453-188","https://www.carsguide.com.au/porsche/cayenne/price/2015","null","Price: $63,360 - $72,820"
"1683537453-189","https://www.carsguide.com.au/porsche/cayenne/price/2015","null","Price: $64,900 - $74,580"
"1683537453-190","https://www.carsguide.com.au/porsche/cayenne/price/2015","null","Price: $93,500 - $107,470"
"1683537453-191","https://www.carsguide.com.au/porsche/cayenne/price/2015","null","Price: $129,030 - $148,280"
"1683537456-192","https://www.carsguide.com.au/porsche/cayenne/price/2016","null","Price: $62,920 - $72,270"
"1683537456-193","https://www.carsguide.com.au/porsche/cayenne/price/2016","null","Price: $72,820 - $83,710"
"1683537456-194","https://www.carsguide.com.au/porsche/cayenne/price/2016","null","Price: $70,730 - $81,290"
"1683537456-195","https://www.carsguide.com.au/porsche/cayenne/price/2016","null","Price: $80,960 - $93,060"
"1683537456-196","https://www.carsguide.com.au/porsche/cayenne/price/2016","null","Price: $54,230 - $62,370"
"1683537456-197","https://www.carsguide.com.au/porsche/cayenne/price/2016","null","Price: $82,390 - $94,710"
"1683537456-198","https://www.carsguide.com.au/porsche/cayenne/price/2016","null","Price: $68,860 - $79,090"
"1683537456-199","https://www.carsguide.com.au/porsche/cayenne/price/2016","null","Price: $71,060 - $81,730"
"1683537456-200","https://www.carsguide.com.au/porsche/cayenne/price/2016","null","Price: $77,550 - $89,100"
"1683537456-201","https://www.carsguide.com.au/porsche/cayenne/price/2016","null","Price: $98,120 - $112,750"
"1683537456-202","https://www.carsguide.com.au/porsche/cayenne/price/2016","null","Price: $143,110 - $164,450"
"1683537459-203","https://www.carsguide.com.au/porsche/cayenne/price/2017","null","Price: $67,980 - $78,100"
"1683537459-204","https://www.carsguide.com.au/porsche/cayenne/price/2017","null","Price: $73,700 - $84,700"
"1683537459-205","https://www.carsguide.com.au/porsche/cayenne/price/2017","null","Price: $80,410 - $92,400"
"1683537459-206","https://www.carsguide.com.au/porsche/cayenne/price/2017","null","Price: $87,560 - $100,650"
"1683537459-207","https://www.carsguide.com.au/porsche/cayenne/price/2017","null","Price: $61,600 - $70,840"
"1683537459-208","https://www.carsguide.com.au/porsche/cayenne/price/2017","null","Price: $89,760 - $103,180"
"1683537459-209","https://www.carsguide.com.au/porsche/cayenne/price/2017","null","Price: $74,030 - $85,140"
"1683537459-210","https://www.carsguide.com.au/porsche/cayenne/price/2017","null","Price: $80,850 - $92,950"
"1683537459-211","https://www.carsguide.com.au/porsche/cayenne/price/2017","null","Price: $78,320 - $89,980"
"1683537459-212","https://www.carsguide.com.au/porsche/cayenne/price/2017","null","Price: $84,370 - $97,020"
"1683537459-213","https://www.carsguide.com.au/porsche/cayenne/price/2017","null","Price: $81,400 - $93,500"
"1683537459-214","https://www.carsguide.com.au/porsche/cayenne/price/2017","null","Price: $109,230 - $125,510"
"1683537459-215","https://www.carsguide.com.au/porsche/cayenne/price/2017","null","Price: $162,580 - $186,890"
"1683537462-216","https://www.carsguide.com.au/porsche/cayenne/price/2018","null","Price: $66,990 - $77,000"
"1683537462-217","https://www.carsguide.com.au/porsche/cayenne/price/2018","null","Price: $78,980 - $90,750"
"1683537462-218","https://www.carsguide.com.au/porsche/cayenne/price/2018","null","Price: $108,900 - $125,180"
"1683537462-219","https://www.carsguide.com.au/porsche/cayenne/price/2018","null","Price: $93,390 - $107,360"
"1683537462-220","https://www.carsguide.com.au/porsche/cayenne/price/2018","null","Price: $89,430 - $102,740"
"1683537462-221","https://www.carsguide.com.au/porsche/cayenne/price/2018","null","Price: $71,280 - $81,950"
"1683537462-222","https://www.carsguide.com.au/porsche/cayenne/price/2018","null","Price: $101,420 - $116,600"
"1683537462-223","https://www.carsguide.com.au/porsche/cayenne/price/2018","null","Price: $68,530 - $78,760"
"1683537462-224","https://www.carsguide.com.au/porsche/cayenne/price/2018","null","Price: $99,550 - $114,400"
"1683537462-225","https://www.carsguide.com.au/porsche/cayenne/price/2018","null","Price: $88,000 - $101,200"
"1683537462-226","https://www.carsguide.com.au/porsche/cayenne/price/2018","null","Price: $95,040 - $109,230"
"1683537462-227","https://www.carsguide.com.au/porsche/cayenne/price/2018","null","Price: $91,520 - $105,160"
"1683537462-228","https://www.carsguide.com.au/porsche/cayenne/price/2018","null","Price: $153,670 - $176,660"
"1683537462-229","https://www.carsguide.com.au/porsche/cayenne/price/2018","null","Price: $186,340 - $214,170"
"1683537465-230","https://www.carsguide.com.au/porsche/cayenne/price/2019","null","Price: $131,670 - $151,360"
"1683537465-231","https://www.carsguide.com.au/porsche/cayenne/price/2019","null","Price: $98,670 - $113,410"
"1683537465-232","https://www.carsguide.com.au/porsche/cayenne/price/2019","null","Price: $115,390 - $132,660"
"1683537465-233","https://www.carsguide.com.au/porsche/cayenne/price/2019","null","Price: $194,260 - $223,300"
"1683537465-234","https://www.carsguide.com.au/porsche/cayenne/price/2019","null","Price: $208,780 - $240,020"
"1683537468-235","https://www.carsguide.com.au/porsche/cayenne/price/2020","null","Price: $145,200 - $166,870"
"1683537468-236","https://www.carsguide.com.au/porsche/cayenne/price/2020","null","Price: $109,010 - $125,290"
"1683537468-237","https://www.carsguide.com.au/porsche/cayenne/price/2020","null","Price: $126,940 - $145,860"
"1683537468-238","https://www.carsguide.com.au/porsche/cayenne/price/2020","null","Price: $173,030 - $198,880"
"1683537468-239","https://www.carsguide.com.au/porsche/cayenne/price/2020","null","Price: $194,700 - $223,740"
"1683537468-240","https://www.carsguide.com.au/porsche/cayenne/price/2020","null","Price: $231,220 - $265,760"
"1683537471-241","https://www.carsguide.com.au/porsche/cayenne/price/2021","null","Price: $139,260 - $160,050"
"1683537471-242","https://www.carsguide.com.au/porsche/cayenne/price/2021","null","Price: $112,200 - $128,920"
"1683537471-243","https://www.carsguide.com.au/porsche/cayenne/price/2021","null","Price: $121,770 - $139,920"
"1683537471-244","https://www.carsguide.com.au/porsche/cayenne/price/2021","null","Price: $177,870 - $204,490"
"1683537471-245","https://www.carsguide.com.au/porsche/cayenne/price/2021","null","Price: $212,080 - $243,760"
"1683537471-246","https://www.carsguide.com.au/porsche/cayenne/price/2021","null","Price: $289,740 - $333,080"
"1683537471-247","https://www.carsguide.com.au/porsche/cayenne/price/2021","null","Price: $251,900 - $289,520"
"1683537473-248","https://www.carsguide.com.au/porsche/cayenne/price/2022","null","Price: $162,580 - $186,890"
"1683537473-249","https://www.carsguide.com.au/porsche/cayenne/price/2022","null","Price: $160,930 - $185,020"
"1683537473-250","https://www.carsguide.com.au/porsche/cayenne/price/2022","null","Price: $110,770 - $127,380"
"1683537473-251","https://www.carsguide.com.au/porsche/cayenne/price/2022","null","Price: $142,340 - $163,570"
"1683537473-252","https://www.carsguide.com.au/porsche/cayenne/price/2022","null","Price: $149,710 - $172,040"
"1683537473-253","https://www.carsguide.com.au/porsche/cayenne/price/2022","null","Price: $135,410 - $155,650"
"1683537473-254","https://www.carsguide.com.au/porsche/cayenne/price/2022","null","Price: $181,500 - $208,560"
"1683537473-255","https://www.carsguide.com.au/porsche/cayenne/price/2022","null","Price: $231,880 - $266,530"
"1683537473-256","https://www.carsguide.com.au/porsche/cayenne/price/2022","null","Price: $304,810 - $350,350"
"1683537473-257","https://www.carsguide.com.au/porsche/cayenne/price/2022","null","Price: $280,830 - $322,740"
"1683537475-258","https://www.carsguide.com.au/porsche/cayenne/price/2023","S","Price: $176,100"
"1683537475-259","https://www.carsguide.com.au/porsche/cayenne/price/2023","S Platinum Edition","Price: $175,900"
"1683537475-260","https://www.carsguide.com.au/porsche/cayenne/price/2023","(base)","Price: $135,100"
"1683537475-261","https://www.carsguide.com.au/porsche/cayenne/price/2023","E-Hybrid","Price: $152,500"
"1683537475-262","https://www.carsguide.com.au/porsche/cayenne/price/2023","E-Hybrid Platinum Edition","Price: $163,600"
"1683537475-263","https://www.carsguide.com.au/porsche/cayenne/price/2023","Platinum Edition","Price: $148,000"
"1683537475-264","https://www.carsguide.com.au/porsche/cayenne/price/2023","GTS","Price: $207,500"
"1683537475-265","https://www.carsguide.com.au/porsche/cayenne/price/2023","Turbo","Price: $275,000"
"1683537475-266","https://www.carsguide.com.au/porsche/cayenne/price/2023","Turbo GT","Price: $352,700"
"1683537475-267","https://www.carsguide.com.au/porsche/cayenne/price/2023","Turbo S E-Hybrid","Price: $308,800"
