web-scraper-order,web-scraper-start-url,2023 Porsche Panamera,Price
"1683537866-268","https://www.carsguide.com.au/porsche/panamera/price/2009","null","Price: $52,910 - $60,830"
"1683537866-269","https://www.carsguide.com.au/porsche/panamera/price/2009","null","Price: $50,600 - $58,190"
"1683537866-270","https://www.carsguide.com.au/porsche/panamera/price/2009","null","Price: $68,420 - $78,650"
"1683537869-271","https://www.carsguide.com.au/porsche/panamera/price/2010","null","Price: $36,630 - $43,670"
"1683537869-272","https://www.carsguide.com.au/porsche/panamera/price/2010","null","Price: $39,380 - $46,310"
"1683537869-273","https://www.carsguide.com.au/porsche/panamera/price/2010","null","Price: $57,530 - $66,110"
"1683537869-274","https://www.carsguide.com.au/porsche/panamera/price/2010","null","Price: $55,110 - $63,360"
"1683537869-275","https://www.carsguide.com.au/porsche/panamera/price/2010","null","Price: $73,260 - $84,260"
"1683537872-276","https://www.carsguide.com.au/porsche/panamera/price/2011","null","Price: $39,380 - $46,310"
"1683537872-277","https://www.carsguide.com.au/porsche/panamera/price/2011","null","Price: $51,920 - $59,620"
"1683537872-278","https://www.carsguide.com.au/porsche/panamera/price/2011","null","Price: $38,940 - $45,870"
"1683537872-279","https://www.carsguide.com.au/porsche/panamera/price/2011","null","Price: $41,250 - $48,510"
"1683537872-280","https://www.carsguide.com.au/porsche/panamera/price/2011","null","Price: $60,280 - $69,300"
"1683537872-281","https://www.carsguide.com.au/porsche/panamera/price/2011","null","Price: $57,750 - $66,440"
"1683537872-282","https://www.carsguide.com.au/porsche/panamera/price/2011","null","Price: $76,890 - $88,330"
"1683537872-283","https://www.carsguide.com.au/porsche/panamera/price/2011","null","Price: $90,860 - $104,500"
"1683537875-284","https://www.carsguide.com.au/porsche/panamera/price/2012","null","Price: $43,780 - $50,930"
"1683537875-285","https://www.carsguide.com.au/porsche/panamera/price/2012","null","Price: $59,290 - $68,090"
"1683537875-286","https://www.carsguide.com.au/porsche/panamera/price/2012","null","Price: $44,880 - $52,250"
"1683537875-287","https://www.carsguide.com.au/porsche/panamera/price/2012","null","Price: $48,180 - $55,330"
"1683537875-288","https://www.carsguide.com.au/porsche/panamera/price/2012","null","Price: $67,540 - $77,660"
"1683537875-289","https://www.carsguide.com.au/porsche/panamera/price/2012","null","Price: $71,720 - $82,390"
"1683537875-290","https://www.carsguide.com.au/porsche/panamera/price/2012","null","Price: $64,680 - $74,360"
"1683537875-291","https://www.carsguide.com.au/porsche/panamera/price/2012","null","Price: $86,350 - $99,220"
"1683537875-292","https://www.carsguide.com.au/porsche/panamera/price/2012","null","Price: $99,990 - $114,950"
"1683537878-293","https://www.carsguide.com.au/porsche/panamera/price/2013","null","Price: $48,180 - $55,330"
"1683537878-294","https://www.carsguide.com.au/porsche/panamera/price/2013","null","Price: $72,710 - $83,600"
"1683537878-295","https://www.carsguide.com.au/porsche/panamera/price/2013","null","Price: $49,280 - $56,650"
"1683537878-296","https://www.carsguide.com.au/porsche/panamera/price/2013","null","Price: $52,250 - $60,060"
"1683537878-297","https://www.carsguide.com.au/porsche/panamera/price/2013","null","Price: $73,260 - $84,260"
"1683537878-298","https://www.carsguide.com.au/porsche/panamera/price/2013","null","Price: $77,880 - $89,540"
"1683537878-299","https://www.carsguide.com.au/porsche/panamera/price/2013","null","Price: $70,290 - $80,740"
"1683537878-300","https://www.carsguide.com.au/porsche/panamera/price/2013","null","Price: $93,610 - $107,580"
"1683537878-301","https://www.carsguide.com.au/porsche/panamera/price/2013","null","Price: $108,570 - $124,850"
"1683537881-302","https://www.carsguide.com.au/porsche/panamera/price/2014","null","Price: $77,770 - $89,430"
"1683537881-303","https://www.carsguide.com.au/porsche/panamera/price/2014","null","Price: $74,690 - $85,800"
"1683537881-304","https://www.carsguide.com.au/porsche/panamera/price/2014","null","Price: $51,150 - $58,740"
"1683537881-305","https://www.carsguide.com.au/porsche/panamera/price/2014","null","Price: $100,320 - $115,280"
"1683537881-306","https://www.carsguide.com.au/porsche/panamera/price/2014","null","Price: $77,220 - $88,770"
"1683537881-307","https://www.carsguide.com.au/porsche/panamera/price/2014","null","Price: $52,360 - $60,170"
"1683537881-308","https://www.carsguide.com.au/porsche/panamera/price/2014","null","Price: $55,550 - $63,800"
"1683537881-309","https://www.carsguide.com.au/porsche/panamera/price/2014","null","Price: $82,830 - $95,150"
"1683537881-310","https://www.carsguide.com.au/porsche/panamera/price/2014","null","Price: $99,440 - $114,290"
"1683537881-311","https://www.carsguide.com.au/porsche/panamera/price/2014","null","Price: $155,980 - $179,300"
"1683537885-312","https://www.carsguide.com.au/porsche/panamera/price/2015","null","Price: $117,920 - $135,520"
"1683537885-313","https://www.carsguide.com.au/porsche/panamera/price/2015","null","Price: $113,080 - $130,020"
"1683537885-314","https://www.carsguide.com.au/porsche/panamera/price/2015","null","Price: $81,620 - $93,830"
"1683537885-315","https://www.carsguide.com.au/porsche/panamera/price/2015","null","Price: $73,590 - $84,590"
"1683537885-316","https://www.carsguide.com.au/porsche/panamera/price/2015","null","Price: $111,650 - $128,370"
"1683537885-317","https://www.carsguide.com.au/porsche/panamera/price/2015","null","Price: $80,080 - $92,070"
"1683537885-318","https://www.carsguide.com.au/porsche/panamera/price/2015","null","Price: $84,920 - $97,570"
"1683537885-319","https://www.carsguide.com.au/porsche/panamera/price/2015","null","Price: $84,920 - $97,570"
"1683537885-320","https://www.carsguide.com.au/porsche/panamera/price/2015","null","Price: $72,270 - $83,050"
"1683537885-321","https://www.carsguide.com.au/porsche/panamera/price/2015","null","Price: $125,400 - $144,100"
"1683537885-322","https://www.carsguide.com.au/porsche/panamera/price/2015","null","Price: $150,150 - $172,590"
"1683537885-323","https://www.carsguide.com.au/porsche/panamera/price/2015","null","Price: $174,130 - $200,090"
"1683537891-324","https://www.carsguide.com.au/porsche/panamera/price/2016","null","Price: $127,270 - $146,300"
"1683537891-325","https://www.carsguide.com.au/porsche/panamera/price/2016","null","Price: $122,100 - $140,360"
"1683537891-326","https://www.carsguide.com.au/porsche/panamera/price/2016","null","Price: $88,000 - $101,200"
"1683537891-327","https://www.carsguide.com.au/porsche/panamera/price/2016","null","Price: $81,290 - $93,390"
"1683537891-328","https://www.carsguide.com.au/porsche/panamera/price/2016","null","Price: $120,560 - $138,600"
"1683537891-329","https://www.carsguide.com.au/porsche/panamera/price/2016","null","Price: $86,460 - $99,440"
"1683537891-330","https://www.carsguide.com.au/porsche/panamera/price/2016","null","Price: $91,630 - $105,380"
"1683537891-331","https://www.carsguide.com.au/porsche/panamera/price/2016","null","Price: $91,630 - $105,380"
"1683537891-332","https://www.carsguide.com.au/porsche/panamera/price/2016","null","Price: $79,860 - $91,740"
"1683537891-333","https://www.carsguide.com.au/porsche/panamera/price/2016","null","Price: $135,300 - $155,540"
"1683537891-334","https://www.carsguide.com.au/porsche/panamera/price/2016","null","Price: $162,030 - $186,230"
"1683537891-335","https://www.carsguide.com.au/porsche/panamera/price/2016","null","Price: $187,990 - $216,040"
"1683537893-336","https://www.carsguide.com.au/porsche/panamera/price/2017","null","Price: $133,980 - $154,000"
"1683537893-337","https://www.carsguide.com.au/porsche/panamera/price/2017","null","Price: $182,050 - $209,220"
"1683537893-338","https://www.carsguide.com.au/porsche/panamera/price/2017","null","Price: $169,290 - $194,590"
"1683537893-339","https://www.carsguide.com.au/porsche/panamera/price/2017","null","Price: $115,610 - $132,880"
"1683537893-340","https://www.carsguide.com.au/porsche/panamera/price/2017","null","Price: $121,110 - $139,260"
"1683537893-341","https://www.carsguide.com.au/porsche/panamera/price/2017","null","Price: $94,380 - $108,460"
"1683537893-342","https://www.carsguide.com.au/porsche/panamera/price/2017","null","Price: $94,380 - $108,460"
"1683537893-343","https://www.carsguide.com.au/porsche/panamera/price/2017","null","Price: $129,140 - $148,500"
"1683537893-344","https://www.carsguide.com.au/porsche/panamera/price/2017","null","Price: $98,010 - $112,640"
"1683537893-345","https://www.carsguide.com.au/porsche/panamera/price/2017","null","Price: $92,510 - $106,370"
"1683537893-346","https://www.carsguide.com.au/porsche/panamera/price/2017","null","Price: $171,820 - $197,450"
"1683537893-347","https://www.carsguide.com.au/porsche/panamera/price/2017","null","Price: $207,130 - $238,040"
"1683537893-348","https://www.carsguide.com.au/porsche/panamera/price/2017","null","Price: $248,050 - $285,120"
"1683537893-349","https://www.carsguide.com.au/porsche/panamera/price/2017","null","Price: $144,760 - $166,430"
"1683537893-350","https://www.carsguide.com.au/porsche/panamera/price/2017","null","Price: $201,300 - $231,440"
"1683537893-351","https://www.carsguide.com.au/porsche/panamera/price/2017","null","Price: $137,940 - $158,510"
"1683537893-352","https://www.carsguide.com.au/porsche/panamera/price/2017","null","Price: $171,160 - $196,680"
"1683537893-353","https://www.carsguide.com.au/porsche/panamera/price/2017","null","Price: $125,070 - $143,770"
"1683537893-354","https://www.carsguide.com.au/porsche/panamera/price/2017","null","Price: $191,290 - $219,890"
"1683537893-355","https://www.carsguide.com.au/porsche/panamera/price/2017","null","Price: $273,790 - $314,710"
"1683537893-356","https://www.carsguide.com.au/porsche/panamera/price/2017","null","Price: $210,430 - $241,890"
"1683537897-357","https://www.carsguide.com.au/porsche/panamera/price/2018","null","Price: $144,870 - $166,540"
"1683537897-358","https://www.carsguide.com.au/porsche/panamera/price/2018","null","Price: $195,580 - $224,840"
"1683537897-359","https://www.carsguide.com.au/porsche/panamera/price/2018","null","Price: $124,960 - $143,660"
"1683537897-360","https://www.carsguide.com.au/porsche/panamera/price/2018","null","Price: $131,010 - $150,590"
"1683537897-361","https://www.carsguide.com.au/porsche/panamera/price/2018","null","Price: $185,790 - $213,510"
"1683537897-362","https://www.carsguide.com.au/porsche/panamera/price/2018","null","Price: $212,300 - $243,980"
"1683537897-363","https://www.carsguide.com.au/porsche/panamera/price/2018","null","Price: $223,960 - $257,400"
"1683537897-364","https://www.carsguide.com.au/porsche/panamera/price/2018","null","Price: $268,290 - $308,330"
"1683537897-365","https://www.carsguide.com.au/porsche/panamera/price/2018","null","Price: $149,050 - $171,380"
"1683537897-366","https://www.carsguide.com.au/porsche/panamera/price/2018","null","Price: $185,020 - $212,630"
"1683537897-367","https://www.carsguide.com.au/porsche/panamera/price/2018","null","Price: $135,300 - $155,540"
"1683537897-368","https://www.carsguide.com.au/porsche/panamera/price/2018","null","Price: $205,590 - $236,280"
"1683537897-369","https://www.carsguide.com.au/porsche/panamera/price/2018","null","Price: $234,300 - $269,280"
"1683537897-370","https://www.carsguide.com.au/porsche/panamera/price/2018","null","Price: $294,140 - $338,140"
"1683537897-371","https://www.carsguide.com.au/porsche/panamera/price/2018","null","Price: $227,590 - $261,580"
"1683537900-372","https://www.carsguide.com.au/porsche/panamera/price/2019","null","Price: $160,930 - $185,020"
"1683537900-373","https://www.carsguide.com.au/porsche/panamera/price/2019","null","Price: $185,130 - $212,740"
"1683537900-374","https://www.carsguide.com.au/porsche/panamera/price/2019","null","Price: $215,600 - $247,830"
"1683537900-375","https://www.carsguide.com.au/porsche/panamera/price/2019","null","Price: $138,820 - $159,610"
"1683537900-376","https://www.carsguide.com.au/porsche/panamera/price/2019","null","Price: $164,120 - $188,650"
"1683537900-377","https://www.carsguide.com.au/porsche/panamera/price/2019","null","Price: $145,530 - $167,310"
"1683537900-378","https://www.carsguide.com.au/porsche/panamera/price/2019","null","Price: $235,840 - $271,040"
"1683537900-379","https://www.carsguide.com.au/porsche/panamera/price/2019","null","Price: $248,710 - $285,890"
"1683537900-380","https://www.carsguide.com.au/porsche/panamera/price/2019","null","Price: $297,880 - $342,430"
"1683537900-381","https://www.carsguide.com.au/porsche/panamera/price/2019","null","Price: $165,660 - $190,410"
"1683537900-382","https://www.carsguide.com.au/porsche/panamera/price/2019","null","Price: $205,590 - $236,280"
"1683537900-383","https://www.carsguide.com.au/porsche/panamera/price/2019","null","Price: $150,370 - $172,810"
"1683537900-384","https://www.carsguide.com.au/porsche/panamera/price/2019","null","Price: $258,280 - $296,890"
"1683537900-385","https://www.carsguide.com.au/porsche/panamera/price/2019","null","Price: $324,280 - $372,790"
"1683537900-386","https://www.carsguide.com.au/porsche/panamera/price/2019","null","Price: $252,780 - $290,510"
"1683537902-387","https://www.carsguide.com.au/porsche/panamera/price/2020","null","Price: $192,940 - $221,760"
"1683537902-388","https://www.carsguide.com.au/porsche/panamera/price/2020","null","Price: $203,940 - $234,410"
"1683537902-389","https://www.carsguide.com.au/porsche/panamera/price/2020","null","Price: $195,690 - $224,950"
"1683537902-390","https://www.carsguide.com.au/porsche/panamera/price/2020","null","Price: $167,970 - $193,050"
"1683537902-391","https://www.carsguide.com.au/porsche/panamera/price/2020","null","Price: $242,220 - $278,410"
"1683537902-392","https://www.carsguide.com.au/porsche/panamera/price/2020","null","Price: $167,530 - $192,610"
"1683537902-393","https://www.carsguide.com.au/porsche/panamera/price/2020","null","Price: $180,840 - $207,900"
"1683537902-394","https://www.carsguide.com.au/porsche/panamera/price/2020","null","Price: $175,560 - $201,740"
"1683537902-395","https://www.carsguide.com.au/porsche/panamera/price/2020","null","Price: $281,050 - $323,070"
"1683537902-396","https://www.carsguide.com.au/porsche/panamera/price/2020","null","Price: $299,970 - $344,740"
"1683537902-397","https://www.carsguide.com.au/porsche/panamera/price/2020","null","Price: $313,830 - $360,690"
"1683537902-398","https://www.carsguide.com.au/porsche/panamera/price/2020","null","Price: $357,610 - $411,070"
"1683537902-399","https://www.carsguide.com.au/porsche/panamera/price/2020","null","Price: $198,550 - $228,250"
"1683537902-400","https://www.carsguide.com.au/porsche/panamera/price/2020","null","Price: $247,830 - $284,900"
"1683537902-401","https://www.carsguide.com.au/porsche/panamera/price/2020","null","Price: $181,060 - $208,120"
"1683537902-402","https://www.carsguide.com.au/porsche/panamera/price/2020","null","Price: $286,660 - $329,450"
"1683537902-403","https://www.carsguide.com.au/porsche/panamera/price/2020","null","Price: $362,450 - $416,570"
"1683537902-404","https://www.carsguide.com.au/porsche/panamera/price/2020","null","Price: $304,590 - $350,130"
"1683537905-405","https://www.carsguide.com.au/porsche/panamera/price/2021","null","Price: $166,210 - $191,070"
"1683537905-406","https://www.carsguide.com.au/porsche/panamera/price/2021","null","Price: $174,790 - $200,860"
"1683537905-407","https://www.carsguide.com.au/porsche/panamera/price/2021","null","Price: $204,930 - $235,510"
"1683537905-408","https://www.carsguide.com.au/porsche/panamera/price/2021","null","Price: $212,850 - $244,640"
"1683537905-409","https://www.carsguide.com.au/porsche/panamera/price/2021","null","Price: $182,710 - $209,990"
"1683537905-410","https://www.carsguide.com.au/porsche/panamera/price/2021","null","Price: $245,520 - $282,150"
"1683537905-411","https://www.carsguide.com.au/porsche/panamera/price/2021","null","Price: $257,950 - $296,450"
"1683537905-412","https://www.carsguide.com.au/porsche/panamera/price/2021","null","Price: $341,220 - $392,260"
"1683537905-413","https://www.carsguide.com.au/porsche/panamera/price/2021","null","Price: $350,680 - $403,040"
"1683537905-414","https://www.carsguide.com.au/porsche/panamera/price/2021","null","Price: $210,980 - $242,550"
"1683537905-415","https://www.carsguide.com.au/porsche/panamera/price/2021","null","Price: $180,840 - $207,900"
"1683537905-416","https://www.carsguide.com.au/porsche/panamera/price/2021","null","Price: $264,000 - $303,490"
"1683537908-417","https://www.carsguide.com.au/porsche/panamera/price/2022","null","Price: $177,210 - $203,720"
"1683537908-418","https://www.carsguide.com.au/porsche/panamera/price/2022","null","Price: $186,340 - $214,170"
"1683537908-419","https://www.carsguide.com.au/porsche/panamera/price/2022","null","Price: $218,460 - $251,130"
"1683537908-420","https://www.carsguide.com.au/porsche/panamera/price/2022","null","Price: $226,930 - $260,810"
"1683537908-421","https://www.carsguide.com.au/porsche/panamera/price/2022","null","Price: $217,690 - $250,250"
"1683537908-422","https://www.carsguide.com.au/porsche/panamera/price/2022","null","Price: $194,700 - $223,850"
"1683537908-423","https://www.carsguide.com.au/porsche/panamera/price/2022","null","Price: $187,330 - $215,270"
"1683537908-424","https://www.carsguide.com.au/porsche/panamera/price/2022","null","Price: $257,070 - $295,460"
"1683537908-425","https://www.carsguide.com.au/porsche/panamera/price/2022","null","Price: $179,300 - $206,030"
"1683537908-426","https://www.carsguide.com.au/porsche/panamera/price/2022","null","Price: $275,000 - $316,030"
"1683537908-427","https://www.carsguide.com.au/porsche/panamera/price/2022","null","Price: $363,880 - $418,220"
"1683537908-428","https://www.carsguide.com.au/porsche/panamera/price/2022","null","Price: $373,780 - $429,660"
"1683537908-429","https://www.carsguide.com.au/porsche/panamera/price/2022","null","Price: $224,950 - $258,610"
"1683537908-430","https://www.carsguide.com.au/porsche/panamera/price/2022","null","Price: $192,720 - $221,540"
"1683537908-431","https://www.carsguide.com.au/porsche/panamera/price/2022","null","Price: $281,490 - $323,510"
"1683537910-432","https://www.carsguide.com.au/porsche/panamera/price/2023","(base)","Price: $207,800"
"1683537910-433","https://www.carsguide.com.au/porsche/panamera/price/2023","4","Price: $218,100"
"1683537910-434","https://www.carsguide.com.au/porsche/panamera/price/2023","4 E-Hybrid","Price: $254,300"
"1683537910-435","https://www.carsguide.com.au/porsche/panamera/price/2023","4 E-Hybrid Executive","Price: $263,700"
"1683537910-436","https://www.carsguide.com.au/porsche/panamera/price/2023","4 E-Hybrid Platinum Edition","Price: $254,600"
"1683537910-437","https://www.carsguide.com.au/porsche/panamera/price/2023","4 Executive","Price: $227,500"
"1683537910-438","https://www.carsguide.com.au/porsche/panamera/price/2023","4 Platinum Edition","Price: $219,100"
"1683537910-439","https://www.carsguide.com.au/porsche/panamera/price/2023","4S E-Hybrid","Price: $300,400"
"1683537910-440","https://www.carsguide.com.au/porsche/panamera/price/2023","Platinum Edition","Price: $209,800"
"1683537910-441","https://www.carsguide.com.au/porsche/panamera/price/2023","GTS","Price: $318,700"
"1683537910-442","https://www.carsguide.com.au/porsche/panamera/price/2023","Turbo S","Price: $424,200"
"1683537910-443","https://www.carsguide.com.au/porsche/panamera/price/2023","Turbo S E-Hybrid","Price: $435,100"
"1683537910-444","https://www.carsguide.com.au/porsche/panamera/price/2023","4 E-Hybrid Sport Turismo","Price: $261,600"
"1683537910-445","https://www.carsguide.com.au/porsche/panamera/price/2023","4 Sport Turismo","Price: $225,500"
"1683537910-446","https://www.carsguide.com.au/porsche/panamera/price/2023","GTS Sport Turismo","Price: $326,100"
